         2310514 function calls (2180215 primitive calls) in 42.133 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        9   39.229    4.359   42.059    4.673 tesseroid.py:324(_forward_model)
    18198    0.138    0.000    0.357    0.000 context.py:139(resolve_data_type)
    18000    0.132    0.000    0.238    0.000 mohoinv.py:476(__getitem__)
    18120    0.121    0.000    0.121    0.000 __init__.py:501(cast)
        8    0.113    0.014    0.113    0.014 executionengine.py:93(finalize_object)
   371163    0.110    0.000    0.111    0.000 {isinstance}
     9716    0.102    0.000    0.209    0.000 instructions.py:12(__init__)
69565/49934    0.088    0.000    0.154    0.000 {method 'format' of 'str' objects}
        8    0.087    0.011    0.087    0.011 passmanagers.py:26(run)
    61709    0.082    0.000    0.119    0.000 StringIO.py:208(write)
    18000    0.076    0.000    0.098    0.000 mesher.py:527(__init__)
30960/21244    0.073    0.000    0.551    0.000 {print}
     9950    0.061    0.000    0.442    0.000 values.py:141(__str__)
    18104    0.055    0.000    0.176    0.000 ctypes_utils.py:40(is_ctypes_funcptr)
    18009    0.049    0.000    0.316    0.000 mohoinv.py:469(next)
86355/36418    0.044    0.000    0.044    0.000 _utils.py:26(is_used)
    18023    0.043    0.000    0.420    0.000 context.py:121(resolve_argument_type)
    18000    0.040    0.000    0.053    0.000 tesseroid.py:262(_check_tesseroid)
       16    0.039    0.002    0.039    0.002 executionengine.py:69(get_pointer_to_global)
    12290    0.038    0.000    0.067    0.000 _utils.py:41(deduplicate)
     7770    0.037    0.000    0.099    0.000 templates.py:104(_rate_arguments)
    22657    0.033    0.000    0.033    0.000 types.py:182(__str__)
    18026    0.031    0.000    0.465    0.000 dispatcher.py:205(typeof_pyval)
    36000    0.026    0.000    0.026    0.000 mesher.py:543(get_bounds)
       24    0.024    0.001    0.025    0.001 module.py:11(parse_assembly)
    20602    0.023    0.000    0.061    0.000 values.py:167(get_reference)
    18000    0.022    0.000    0.022    0.000 mesher.py:48(__init__)
    18020    0.022    0.000    0.029    0.000 mohoinv.py:458(size)
     1045    0.022    0.000    0.172    0.000 templates.py:127(resolve_overload)
      159    0.022    0.000    0.022    0.000 passmanagers.py:50(run)
24523/24490    0.021    0.000    0.021    0.000 {getattr}
    12093    0.020    0.000    0.130    0.000 values.py:132(__init__)
    15481    0.020    0.000    0.024    0.000 templates.py:94(__add__)
15554/15531    0.018    0.000    0.048    0.000 context.py:332(type_compatibility)
19666/841    0.017    0.000    0.591    0.001 {method 'join' of 'str' objects}
26274/25608    0.017    0.000    0.020    0.000 types.py:99(__eq__)
    12449    0.016    0.000    0.112    0.000 values.py:159(name)
   102703    0.015    0.000    0.015    0.000 {method 'append' of 'list' objects}
    10109    0.015    0.000    0.019    0.000 StringIO.py:258(getvalue)
     8368    0.015    0.000    0.040    0.000 {_functools.reduce}
    10109    0.014    0.000    0.018    0.000 StringIO.py:54(__init__)
    20602    0.014    0.000    0.034    0.000 values.py:33(_wrapname)
      968    0.014    0.000    0.025    0.000 interpreter.py:286(_compute_var_disposal)
     1468    0.013    0.000    0.046    0.000 instructions.py:50(__init__)
103411/99338    0.012    0.000    0.014    0.000 {len}
    38752    0.012    0.000    0.012    0.000 templates.py:83(__init__)
      987    0.011    0.000    0.559    0.001 values.py:468(descr)
