# Synthetic point estimates of Moho depth (from CRUST1.0)
# Generated by sinthetic-crust1.ipynb on 12 February 2016 18:08:15 UTC
# Moho depth is given in meters.
# lat lon depth
-9.03870 -37.04540 34586.02205
-19.73930 -50.23310 43143.98910
-18.54710 -52.02510 44763.81222
-18.50810 -52.07400 44851.56680
-20.47600 -55.69900 34982.63738
-15.66460 -51.80780 31652.06381
-21.36250 -46.12340 40057.62534
-21.29000 -42.86060 41364.95282
-1.91560 -59.41380 36360.34939
-20.03980 -46.03080 38416.87624
-21.22200 -43.80100 39639.64938
-15.64180 -48.01480 41022.94170
-1.45030 -48.44430 43805.53213
-21.08210 -48.50760 43077.86800
-19.98740 -44.14930 40963.17524
-22.53530 -45.58540 40139.51279
-20.99850 -44.76350 38536.58482
-21.68020 -46.73260 41199.09814
-21.78400 -41.42900 36936.61366
-22.96810 -50.37780 42639.98216
-22.81250 -51.01550 41970.09344
-8.17690 -36.01030 33479.47799
-8.17680 -36.00930 33479.96441
-18.42530 -51.21260 43501.67935
-20.23650 -44.71820 40690.81645
-18.76550 -52.83930 44800.95942
-19.57920 -54.16880 41761.34572
-17.74330 -48.68920 38874.32528
-26.33060 -57.33090 36255.82587
-6.17020 -50.15460 38225.90622
-13.43210 -44.58190 38878.00904
-5.49450 -38.67090 31608.56894
-13.81420 -47.37670 40473.66232
-13.75710 -47.22410 40622.57107
-23.69030 -46.00990 32422.19285
-20.48760 -45.63890 37603.69001
-20.67820 -46.27790 38710.46453
-15.26440 -49.08550 42301.54090
-21.77720 -48.81390 42342.71414
-23.25240 -46.11640 35610.03275
-1.12720 -47.60850 34484.92741
-20.00050 -47.71390 43224.43244
-27.30820 -52.34110 42792.71632
-15.98870 -39.62820 39741.85313
-17.89290 -51.49290 43926.11483
-21.72780 -43.32580 40426.24631
-15.46780 -44.50510 38650.97717
-24.09300 -47.71630 37671.69337
-21.05500 -42.00400 41240.84805
-21.43360 -54.18420 39602.12695
-28.61050 -49.55820 36704.99253
-19.37550 -47.59300 41519.70095
-20.66280 -47.68590 42688.82940
-20.87930 -48.93060 43537.68862
-21.60740 -51.26180 43089.36166
-23.33820 -45.62170 35765.91086
-15.13690 -50.86340 34180.09135
-12.53060 -39.12380 41888.48303
-22.45650 -52.83680 46125.95369
-13.33040 -49.07870 36747.57906
-17.60030 -54.87970 33963.16738
-22.03260 -51.31360 42225.01517
-17.27020 -46.81880 39171.48762
-21.46300 -57.47560 43239.40976
-22.41910 -47.53100 41826.04849
-22.41910 -47.53100 41826.04849
-20.07370 -47.50190 42852.47520
-24.69680 -48.82760 35120.27315
-16.57050 -50.34550 34237.74962
0.90510 -51.87710 37521.15915
-23.59270 -47.42700 39057.17544
-2.75150 -54.95720 41938.03866
-20.67240 -51.32600 47278.55122
-18.09220 -44.92900 36967.01101
-22.15410 -43.19550 38199.72160
-4.87300 -42.70590 39796.08019
-23.00220 -46.96580 38880.32741
5.20700 -52.73200 32867.82084
5.11000 -52.64400 33672.92192
-5.82740 -35.90140 32692.47743
-9.20000 -63.18320 43330.02176
-8.80000 -63.35000 42643.65890
-38.05680 -61.97870 34632.38480
-40.73300 -70.55100 35932.63937
-16.17270 -68.07840 53571.49228
-0.73080 -59.96660 47476.09047
-15.64180 -48.01480 41022.94170
-13.09930 -48.28980 38684.48673
-3.77830 -38.76800 30457.12855
-15.05810 -44.31120 38540.46214
-11.61230 -56.72960 38091.83686
-17.97070 -47.70180 36388.67098
-3.79200 -49.70900 34525.14102
-8.42950 -35.83610 33625.71888
