# shape:
# 81 61
# lat  lon  height  topo  gravity  disturbance  topo_effect  bouguer  sediment_effect  moho_anomaly
-6.000000000000000000e+01 2.700000000000000000e+02 1.000000000000000000e+04 -5.188000000000000000e+03 9.788361349451032002e+05 -4.300673245568759739e+00 -3.182177686119768509e+02 3.139170953664080912e+02 -5.162243327088959610e+00 3.190793386934970499e+02
-6.000000000000000000e+01 2.710000000000000000e+02 1.000000000000000000e+04 -5.135000000000000000e+03 9.788286650168625638e+05 -1.177060148620512336e+01 -3.437191914279593448e+02 3.319485899417542214e+02 -6.622515846038524501e+00 3.385711057877927601e+02
-6.000000000000000000e+01 2.720000000000000000e+02 1.000000000000000000e+04 -5.072000000000000000e+03 9.788337573630315019e+05 -6.678255317267030478e+00 -3.468408951456800651e+02 3.401626398284130346e+02 -7.008369720306032669e+00 3.471710095487190415e+02
-6.000000000000000000e+01 2.730000000000000000e+02 1.000000000000000000e+04 -5.190000000000000000e+03 9.788369627402509796e+05 -3.472878097789362073e+00 -3.530419429342234139e+02 3.495690648364340518e+02 -7.152183762224857411e+00 3.567212485986589172e+02
-6.000000000000000000e+01 2.740000000000000000e+02 1.000000000000000000e+04 -4.970000000000000000e+03 9.788291426672404632e+05 -1.129295110830571502e+01 -3.449775756428557543e+02 3.336846245345500392e+02 -6.756958427365563402e+00 3.404415829619156284e+02
-6.000000000000000000e+01 2.750000000000000000e+02 1.000000000000000000e+04 -4.916000000000000000e+03 9.788337222642372362e+05 -6.713354111532680690e+00 -3.433906193133244642e+02 3.366772652017917835e+02 -6.495112585890020718e+00 3.431723777876817962e+02
-6.000000000000000000e+01 2.760000000000000000e+02 1.000000000000000000e+04 -5.090000000000000000e+03 9.788418228434440680e+05 1.387225095299072564e+00 -3.512360457762841861e+02 3.526232708715832587e+02 -6.827765942267361332e+00 3.594510368138506351e+02
-6.000000000000000000e+01 2.770000000000000000e+02 1.000000000000000000e+04 -5.074000000000000000e+03 9.788298329888471635e+05 -1.060262950160540640e+01 -3.511140788345956025e+02 3.405114493329901961e+02 -7.189221862430166254e+00 3.477006711954203411e+02
-6.000000000000000000e+01 2.780000000000000000e+02 1.000000000000000000e+04 -4.939000000000000000e+03 9.788230253599776188e+05 -1.741025837115012109e+01 -3.453096181350435359e+02 3.278993597638934148e+02 -7.469213101174038805e+00 3.353685728650674491e+02
-6.000000000000000000e+01 2.790000000000000000e+02 1.000000000000000000e+04 -4.946000000000000000e+03 9.788312009031693451e+05 -9.234715179423801601e+00 -3.452439448059855067e+02 3.360092296265617051e+02 -7.491323208041793080e+00 3.435005528346035248e+02
-6.000000000000000000e+01 2.800000000000000000e+02 1.000000000000000000e+04 -5.062000000000000000e+03 9.788307793665888021e+05 -9.656251759966835380e+00 -3.497599705724821888e+02 3.401037188125153534e+02 -7.639304486174923525e+00 3.477430232986902752e+02
-6.000000000000000000e+01 2.810000000000000000e+02 1.000000000000000000e+04 -4.952000000000000000e+03 9.788279064199237619e+05 -1.252919842500705272e+01 -3.452977519152993295e+02 3.327685534902922768e+02 -7.916962403731404585e+00 3.406855158940236947e+02
