# Generated by process-sam-gravity-data.ipynb on 17 January 2016 20:04:32 UTC
# shape (nlat, nlon):
# 81 61
# lat lon height topo gravity disturbance topo_effect bouguer upper_sediment middle_sediment lower_sediment total_sediment sedfree_bouguer
-60.00000 270.00000 50000.00000 -5188.00000 966667.74872 -6.83924 -204.10803 197.26879 -4.27036 -0.83695 -0.02268 -5.12999 202.39878
-60.00000 271.00000 50000.00000 -5135.00000 966666.64700 -7.94096 -250.63024 242.68927 -5.14046 -0.84835 -0.02289 -6.01170 248.70098
-60.00000 272.00000 50000.00000 -5072.00000 966667.99303 -6.59494 -266.44266 259.84772 -5.57990 -0.86024 -0.02311 -6.46324 266.31097
-60.00000 273.00000 50000.00000 -5190.00000 966668.71640 -5.87156 -273.67530 267.80374 -5.76174 -0.87267 -0.02334 -6.65774 274.46148
-60.00000 274.00000 50000.00000 -4970.00000 966667.47509 -7.11288 -274.95829 267.84541 -5.70475 -0.88568 -0.02357 -6.61400 274.45941
-60.00000 275.00000 50000.00000 -4916.00000 966668.94550 -5.64247 -276.51827 270.87581 -5.68877 -0.89932 -0.02382 -6.61191 277.48772
-60.00000 276.00000 50000.00000 -5090.00000 966670.42269 -4.16527 -279.66868 275.50341 -5.89465 -0.91366 -0.02408 -6.83240 282.33581
-60.00000 277.00000 50000.00000 -5074.00000 966667.30618 -7.28178 -280.41158 273.12980 -6.14523 -0.92874 -0.02436 -7.09833 280.22813
-60.00000 278.00000 50000.00000 -4939.00000 966665.53341 -9.05456 -278.78260 269.72804 -6.34414 -0.94464 -0.02465 -7.31342 277.04146
-60.00000 279.00000 50000.00000 -4946.00000 966667.18653 -7.40143 -278.03176 270.63033 -6.44832 -0.96139 -0.02495 -7.43466 278.06499
-60.00000 280.00000 50000.00000 -5062.00000 966667.29762 -7.29034 -278.40530 271.11496 -6.59346 -0.97907 -0.02526 -7.59779 278.71276
-60.00000 281.00000 50000.00000 -4952.00000 966667.30638 -7.28158 -276.92605 269.64447 -6.79445 -0.99771 -0.02559 -7.81774 277.46221
-60.00000 282.00000 50000.00000 -4943.00000 966670.11965 -4.46831 -275.04048 270.57217 -6.96299 -1.01734 -0.02593 -8.00626 278.57843
-60.00000 283.00000 50000.00000 -4821.00000 966673.62981 -0.95816 -271.95692 270.99877 -7.31881 -1.03797 -0.02627 -8.38305 279.38182
-60.00000 284.00000 50000.00000 -4744.00000 966674.61281 0.02484 -267.70498 267.72982 -7.74243 -1.05959 -0.02663 -8.82865 276.55847
-60.00000 285.00000 50000.00000 -4611.00000 966674.55672 -0.03124 -261.56799 261.53675 -7.92195 -1.08212 -0.02698 -9.03106 270.56781
-60.00000 286.00000 50000.00000 -4450.00000 966677.59793 3.00997 -253.89711 256.90708 -7.77382 -1.10548 -0.02733 -8.90663 265.81371
-60.00000 287.00000 50000.00000 -3948.00000 966681.68078 7.09282 -247.68584 254.77866 -7.41336 -1.12949 -0.02768 -8.57053 263.34919
