# Generated by sinthetic-crust1.ipynb on 05 February 2016 20:18:32 UTC
# shape (nlat, nlon):
# 159 119
# lat lon height gravity_anomaly_noisefree gravity_anomaly_noisy
-59.50000 -89.50000 50000.00000 137.98564 146.83669
-59.50000 -89.00000 50000.00000 157.39485 159.42643
-59.50000 -88.50000 50000.00000 170.22200 175.14648
-59.50000 -88.00000 50000.00000 178.47515 189.71041
-59.50000 -87.50000 50000.00000 184.15601 193.52460
-59.50000 -87.00000 50000.00000 188.05709 183.20150
-59.50000 -86.50000 50000.00000 191.02142 195.80266
-59.50000 -86.00000 50000.00000 193.19376 192.46777
-59.50000 -85.50000 50000.00000 195.01774 194.53244
-59.50000 -85.00000 50000.00000 196.40416 198.48795
-59.50000 -84.50000 50000.00000 197.64839 198.39940
-59.50000 -84.00000 50000.00000 198.57103 205.87320
-59.50000 -83.50000 50000.00000 199.42996 203.26594
-59.50000 -83.00000 50000.00000 200.03043 200.66960
-59.50000 -82.50000 50000.00000 200.62381 202.87392
-59.50000 -82.00000 50000.00000 201.01789 202.71706
-59.50000 -81.50000 50000.00000 201.48688 208.98807
-59.50000 -81.00000 50000.00000 201.85475 200.85975
-59.50000 -80.50000 50000.00000 202.34496 203.94110
-59.50000 -80.00000 50000.00000 202.72343 198.48374
-59.50000 -79.50000 50000.00000 203.18597 190.45182
-59.50000 -79.00000 50000.00000 203.48987 206.78875
-59.50000 -78.50000 50000.00000 203.86280 208.21577
-59.50000 -78.00000 50000.00000 204.09595 200.41592
-59.50000 -77.50000 50000.00000 204.43504 215.81460
-59.50000 -77.00000 50000.00000 204.67391 197.43287
-59.50000 -76.50000 50000.00000 205.04118 205.30076
-59.50000 -76.00000 50000.00000 205.31237 204.40725
-59.50000 -75.50000 50000.00000 205.71878 213.41347
-59.50000 -75.00000 50000.00000 206.03557 213.41316
-59.50000 -74.50000 50000.00000 206.48110 207.28663
-59.50000 -74.00000 50000.00000 206.82206 208.74366
-59.50000 -73.50000 50000.00000 207.31265 202.90452
-59.50000 -73.00000 50000.00000 207.75244 197.87925
-59.50000 -72.50000 50000.00000 208.39658 206.68782
