# Generated by sinthetic-simple.ipynb on 03 February 2016 20:47:07 UTC
# shape (nlat, nlon):
# 79 99
# lat lon height gravity_anomaly_noisefree gravity_anomaly_noisy
10.00000 -50.00000 50000.00000 -178.03005 -169.14935
10.00000 -48.97959 50000.00000 -196.26194 -194.20071
10.00000 -47.95918 50000.00000 -203.89574 -198.94160
10.00000 -46.93878 50000.00000 -208.42663 -197.16172
10.00000 -45.91837 50000.00000 -211.69986 -202.30163
10.00000 -44.89796 50000.00000 -214.34356 -219.16950
10.00000 -43.87755 50000.00000 -216.62666 -211.81578
10.00000 -42.85714 50000.00000 -218.67130 -219.36764
10.00000 -41.83673 50000.00000 -220.55237 -221.00802
10.00000 -40.81633 50000.00000 -222.28495 -220.17151
10.00000 -39.79592 50000.00000 -223.90481 -223.12415
10.00000 -38.77551 50000.00000 -225.38195 -218.05013
10.00000 -37.75510 50000.00000 -226.74935 -222.88372
10.00000 -36.73469 50000.00000 -227.94753 -227.27871
10.00000 -35.71429 50000.00000 -229.02013 -226.74036
10.00000 -34.69388 50000.00000 -229.88517 -228.15635
10.00000 -33.67347 50000.00000 -230.60279 -223.07195
10.00000 -32.65306 50000.00000 -231.07447 -232.03982
10.00000 -31.63265 50000.00000 -231.37844 -229.75266
10.00000 -30.61224 50000.00000 -231.40579 -235.61582
10.00000 -29.59184 50000.00000 -231.25125 -243.95576
10.00000 -28.57143 50000.00000 -230.80138 -227.47284
10.00000 -27.55102 50000.00000 -230.16365 -225.78102
10.00000 -26.53061 50000.00000 -229.22456 -232.87494
10.00000 -25.51020 50000.00000 -228.09946 -216.69025
10.00000 -24.48980 50000.00000 -226.67697 -233.88835
10.00000 -23.46939 50000.00000 -225.07566 -224.78643
10.00000 -22.44898 50000.00000 -223.18556 -224.06104
10.00000 -21.42857 50000.00000 -221.12544 -213.40110
10.00000 -20.40816 50000.00000 -218.78310 -211.37586
10.00000 -19.38776 50000.00000 -216.27700 -215.44181
10.00000 -18.36735 50000.00000 -213.48688 -211.53562
