# Moho of South America estimated by gravity data inversion
# See the source code for the inversion at:
#   https://github.com/pinga-lab/paper-moho-inversion-tesseroids
# Generated by south-america-moho.ipynb on 11 February 2016 18:14:30 UTC
# Model grid shape (nlat, nlon):
#   201 151
# Latitude and longitude values correspond to the center of each
# model cell.
# Moho depth is provided in meters.
# Columns:
# lat lon Moho_depth
-60.00000 270.00000 32674.89851
-60.00000 270.40000 26702.16351
-60.00000 270.80000 23617.60412
-60.00000 271.20000 22474.44981
-60.00000 271.60000 22003.43619
-60.00000 272.00000 21696.76936
-60.00000 272.40000 21581.97043
-60.00000 272.80000 21631.51909
-60.00000 273.20000 21745.73611
-60.00000 273.60000 21860.70679
-60.00000 274.00000 21985.89405
-60.00000 274.40000 22046.26282
-60.00000 274.80000 21919.09932
-60.00000 275.20000 21627.47634
-60.00000 275.60000 21357.43651
-60.00000 276.00000 21313.79423
-60.00000 276.40000 21560.76957
-60.00000 276.80000 22001.72272
-60.00000 277.20000 22458.12546
-60.00000 277.60000 22755.10525
-60.00000 278.00000 22795.25015
-60.00000 278.40000 22616.09205
-60.00000 278.80000 22368.05227
-60.00000 279.20000 22220.51739
-60.00000 279.60000 22243.60769
-60.00000 280.00000 22357.84765
-60.00000 280.40000 22485.78117
-60.00000 280.80000 22592.77568
-60.00000 281.20000 22603.81530
-60.00000 281.60000 22452.94864
-60.00000 282.00000 22166.84707
-60.00000 282.40000 21857.84834
-60.00000 282.80000 21621.28845
-60.00000 283.20000 21509.40624
-60.00000 283.60000 21545.34550
-60.00000 284.00000 21720.99133
-60.00000 284.40000 21996.01404
-60.00000 284.80000 22294.74729
-60.00000 285.20000 22575.80331
-60.00000 285.60000 22870.81731
-60.00000 286.00000 23343.98137
-60.00000 286.40000 24001.92449
-60.00000 286.80000 24000.12795
-60.00000 287.20000 23090.64176
-60.00000 287.60000 22412.54486
-60.00000 288.00000 22468.73187
-60.00000 288.40000 23021.12946
-60.00000 288.80000 23642.13700
-60.00000 289.20000 24018.80771
-60.00000 289.60000 24017.33580
-60.00000 290.00000 23838.94394
-60.00000 290.40000 23675.21303
-60.00000 290.80000 23479.87982
-60.00000 291.20000 23185.01858
-60.00000 291.60000 22917.39252
-60.00000 292.00000 22832.26394
-60.00000 292.40000 22836.55820
-60.00000 292.80000 22760.98613
-60.00000 293.20000 22486.33541
-60.00000 293.60000 22080.28109
-60.00000 294.00000 21791.32085
-60.00000 294.40000 21768.48856
-60.00000 294.80000 21956.94827
-60.00000 295.20000 22114.15670
-60.00000 295.60000 22078.12910
-60.00000 296.00000 21881.37731
-60.00000 296.40000 21588.02222
-60.00000 296.80000 21263.07482
-60.00000 297.20000 20993.54667
-60.00000 297.60000 20947.10068
-60.00000 298.00000 21056.97007
-60.00000 298.40000 21049.52545
-60.00000 298.80000 20789.44077
-60.00000 299.20000 20322.79540
-60.00000 299.60000 19849.17816
-60.00000 300.00000 19647.14640
-60.00000 300.40000 19865.09214
-60.00000 300.80000 20330.23863
-60.00000 301.20000 20777.03282
-60.00000 301.60000 21035.43976
-60.00000 302.00000 21109.90757
-60.00000 302.40000 21352.83280
-60.00000 302.80000 21855.07492
-60.00000 303.20000 22313.73214
-60.00000 303.60000 22584.75469
-60.00000 304.00000 22704.36569
-60.00000 304.40000 22740.98893
-60.00000 304.80000 22764.52418
-60.00000 305.20000 22776.67287
-60.00000 305.60000 22691.90751
-60.00000 306.00000 22348.66178
-60.00000 306.40000 21709.10136
-60.00000 306.80000 21072.43545
-60.00000 307.20000 20839.61294
-60.00000 307.60000 21215.75870
-60.00000 308.00000 22124.98064
-60.00000 308.40000 23155.67922
-60.00000 308.80000 23772.69952
-60.00000 309.20000 23760.35270
-60.00000 309.60000 23374.49350
-60.00000 310.00000 22900.22531
-60.00000 310.40000 22521.68051
-60.00000 310.80000 22409.11083
-60.00000 311.20000 22526.14352
-60.00000 311.60000 22637.09703
-60.00000 312.00000 22649.09316
-60.00000 312.40000 22724.11702
-60.00000 312.80000 22885.79624
-60.00000 313.20000 23038.25216
-60.00000 313.60000 23275.21270
-60.00000 314.00000 23859.23442
-60.00000 314.40000 24749.70424
-60.00000 314.80000 25525.48445
-60.00000 315.20000 25872.22454
-60.00000 315.60000 25695.50762
-60.00000 316.00000 25060.94601
-60.00000 316.40000 24219.29413
-60.00000 316.80000 23430.94866
-60.00000 317.20000 22797.84959
-60.00000 317.60000 22498.57632
-60.00000 318.00000 22697.07172
-60.00000 318.40000 23358.15280
-60.00000 318.80000 24464.97422
-60.00000 319.20000 25860.39560
-60.00000 319.60000 27093.90147
-60.00000 320.00000 27777.08792
-60.00000 320.40000 27863.28332
-60.00000 320.80000 27485.51126
-60.00000 321.20000 26717.59801
-60.00000 321.60000 25873.17247
-60.00000 322.00000 25366.04326
-60.00000 322.40000 25200.75103
-60.00000 322.80000 25253.65323
-60.00000 323.20000 25514.70009
-60.00000 323.60000 25976.28646
-60.00000 324.00000 26624.60933
-60.00000 324.40000 27431.78814
-60.00000 324.80000 28078.92392
-60.00000 325.20000 28312.12330
-60.00000 325.60000 28204.32868
-60.00000 326.00000 27845.11102
-60.00000 326.40000 27233.17474
-60.00000 326.80000 26707.06855
-60.00000 327.20000 26457.30913
-60.00000 327.60000 26137.93459
-60.00000 328.00000 25439.44303
-60.00000 328.40000 24337.82889
-60.00000 328.80000 23303.33724
-60.00000 329.20000 23103.71387
-60.00000 329.60000 24432.82075
-60.00000 330.00000 27497.72848
-59.60000 270.00000 24649.84542
-59.60000 270.40000 16229.32937
-59.60000 270.80000 11902.90877
-59.60000 271.20000 10475.10002
-59.60000 271.60000 10269.21786
-59.60000 272.00000 10530.46893
-59.60000 272.40000 11063.90460
-59.60000 272.80000 11593.13495
-59.60000 273.20000 11903.05750
-59.60000 273.60000 12033.49035
-59.60000 274.00000 12113.92142
-59.60000 274.40000 12045.35286
-59.60000 274.80000 11714.09493
-59.60000 275.20000 11225.52343
-59.60000 275.60000 10809.15210
-59.60000 276.00000 10646.77205
-59.60000 276.40000 10786.55999
-59.60000 276.80000 11131.81623
-59.60000 277.20000 11510.49479
-59.60000 277.60000 11765.84831
-59.60000 278.00000 11817.82397
-59.60000 278.40000 11723.25934
-59.60000 278.80000 11663.09808
-59.60000 279.20000 11836.01738
-59.60000 279.60000 12198.55513
-59.60000 280.00000 12428.23694
-59.60000 280.40000 12504.65148
-59.60000 280.80000 12598.88148
-59.60000 281.20000 12664.04385
-59.60000 281.60000 12651.99595
-59.60000 282.00000 12609.26067
-59.60000 282.40000 12529.91020
-59.60000 282.80000 12392.96237
-59.60000 283.20000 12217.71019
-59.60000 283.60000 12053.64227
-59.60000 284.00000 12007.33481
-59.60000 284.40000 12197.24759
-59.60000 284.80000 12606.34044
-59.60000 285.20000 13093.70010
-59.60000 285.60000 13501.51791
-59.60000 286.00000 13820.16176
-59.60000 286.40000 14062.45261
-59.60000 286.80000 14124.97265
-59.60000 287.20000 14030.95599
-59.60000 287.60000 14044.93658
-59.60000 288.00000 14263.65697
-59.60000 288.40000 14499.24072
-59.60000 288.80000 14737.57824
-59.60000 289.20000 15122.85492
-59.60000 289.60000 15585.07811
-59.60000 290.00000 15929.82537
-59.60000 290.40000 16052.40711
-59.60000 290.80000 16093.37393
-59.60000 291.20000 16049.32509
-59.60000 291.60000 15848.19455
-59.60000 292.00000 15751.13592
-59.60000 292.40000 15815.50743
-59.60000 292.80000 15921.85756
-59.60000 293.20000 16006.31666
-59.60000 293.60000 16035.93755
-59.60000 294.00000 16057.71980
-59.60000 294.40000 16143.74380
-59.60000 294.80000 16185.19564
-59.60000 295.20000 15973.77658
-59.60000 295.60000 15454.87807
-59.60000 296.00000 14758.50261
-59.60000 296.40000 14096.59362
-59.60000 296.80000 13670.68581
-59.60000 297.20000 13572.87024
-59.60000 297.60000 13761.14972
-59.60000 298.00000 14053.20622
-59.60000 298.40000 14153.29114
-59.60000 298.80000 13953.22224
-59.60000 299.20000 13697.25830
-59.60000 299.60000 13748.23883
-59.60000 300.00000 14212.80209
-59.60000 300.40000 14804.06509
-59.60000 300.80000 15116.66669
-59.60000 301.20000 14984.11880
-59.60000 301.60000 14635.53826
-59.60000 302.00000 14319.86669
-59.60000 302.40000 14150.61971
-59.60000 302.80000 14120.21692
-59.60000 303.20000 14112.67067
-59.60000 303.60000 14094.22648
-59.60000 304.00000 14104.50166
-59.60000 304.40000 14167.01263
-59.60000 304.80000 14315.27982
-59.60000 305.20000 14585.81586
-59.60000 305.60000 14909.50850
-59.60000 306.00000 15045.88747
-59.60000 306.40000 14832.20610
-59.60000 306.80000 14442.51293
-59.60000 307.20000 14183.15583
-59.60000 307.60000 14337.28324
-59.60000 308.00000 15040.76297
-59.60000 308.40000 16037.96512
-59.60000 308.80000 16651.53737
-59.60000 309.20000 16256.10503
-59.60000 309.60000 15182.67232
-59.60000 310.00000 14210.64207
-59.60000 310.40000 13667.41276
-59.60000 310.80000 13542.59623
-59.60000 311.20000 13668.99295
-59.60000 311.60000 13869.07542
-59.60000 312.00000 14164.50047
-59.60000 312.40000 14706.47946
-59.60000 312.80000 15584.60506
-59.60000 313.20000 16831.57349
-59.60000 313.60000 18357.21351
-59.60000 314.00000 20017.39544
-59.60000 314.40000 21540.29456
-59.60000 314.80000 22271.78653
-59.60000 315.20000 21755.65515
-59.60000 315.60000 20073.46384
-59.60000 316.00000 17729.14819
-59.60000 316.40000 15456.91305
-59.60000 316.80000 13835.18728
-59.60000 317.20000 13113.97254
-59.60000 317.60000 13110.71343
-59.60000 318.00000 13645.54038
-59.60000 318.40000 14780.43301
-59.60000 318.80000 16496.46047
-59.60000 319.20000 18574.05668
-59.60000 319.60000 20502.81009
-59.60000 320.00000 21645.93818
-59.60000 320.40000 21767.26399
-59.60000 320.80000 21103.72173
-59.60000 321.20000 20096.10846
-59.60000 321.60000 19345.41906
-59.60000 322.00000 19108.31135
-59.60000 322.40000 19189.30174
-59.60000 322.80000 19400.25262
-59.60000 323.20000 19780.02908
-59.60000 323.60000 20449.40765
-59.60000 324.00000 21448.50656
-59.60000 324.40000 22452.32965
-59.60000 324.80000 22778.89357
-59.60000 325.20000 22359.57302
-59.60000 325.60000 21817.70438
-59.60000 326.00000 21498.56053
-59.60000 326.40000 21108.56551
-59.60000 326.80000 20332.17772
-59.60000 327.20000 19369.25155
-59.60000 327.60000 18513.93181
-59.60000 328.00000 17803.22022
-59.60000 328.40000 17217.57403
-59.60000 328.80000 16569.18479
-59.60000 329.20000 16509.41327
-59.60000 329.60000 18409.52284
-59.60000 330.00000 22910.98598
-59.20000 270.00000 23280.88090
-59.20000 270.40000 14591.65479
-59.20000 270.80000 10307.10225
-59.20000 271.20000 9135.91233
-59.20000 271.60000 9373.42092
-59.20000 272.00000 10003.31324
-59.20000 272.40000 10557.03384
-59.20000 272.80000 10896.99647
-59.20000 273.20000 11142.18651
-59.20000 273.60000 11381.64339
-59.20000 274.00000 11504.11542
-59.20000 274.40000 11420.05879
-59.20000 274.80000 11189.36675
-59.20000 275.20000 10962.45496
-59.20000 275.60000 10877.49847
-59.20000 276.00000 10967.10381
-59.20000 276.40000 11162.51545
-59.20000 276.80000 11359.87731
-59.20000 277.20000 11470.77095
-59.20000 277.60000 11456.89708
-59.20000 278.00000 11346.50738
-59.20000 278.40000 11246.06643
-59.20000 278.80000 11292.94507
-59.20000 279.20000 11557.74928
-59.20000 279.60000 11980.53454
-59.20000 280.00000 12243.18156
-59.20000 280.40000 12253.61993
-59.20000 280.80000 12214.40977
-59.20000 281.20000 12233.10566
-59.20000 281.60000 12298.47310
-59.20000 282.00000 12378.07892
-59.20000 282.40000 12378.67186
-59.20000 282.80000 12231.31066
-59.20000 283.20000 11970.15929
-59.20000 283.60000 11690.20399
-59.20000 284.00000 11541.01795
-59.20000 284.40000 11682.92614
-59.20000 284.80000 12109.82328
-59.20000 285.20000 12612.45863
-59.20000 285.60000 12982.74642
-59.20000 286.00000 13155.68723
-59.20000 286.40000 13211.95058
-59.20000 286.80000 13308.79048
-59.20000 287.20000 13459.24470
-59.20000 287.60000 13580.04132
-59.20000 288.00000 13678.60012
-59.20000 288.40000 13914.20205
-59.20000 288.80000 14380.68533
-59.20000 289.20000 14896.48123
-59.20000 289.60000 15233.84303
-59.20000 290.00000 15391.16638
-59.20000 290.40000 15491.66282
-59.20000 290.80000 15584.17383
-59.20000 291.20000 15651.90158
-59.20000 291.60000 15688.15530
-59.20000 292.00000 15766.53973
-59.20000 292.40000 15920.91567
